                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.29472,                 1.3336,                0.46186,                0.24445,                0.89832,                0.99925,                      1,                  0.995,                  0.995,                0.99925,                      1,                  0.995,                0.90528,                  0.276,                0.77244,                0.28799,                0.22283,                0.92524,              0.0014357,              0.0014357,              0.0014357
                     59,                0.28215,                 1.2972,                0.48845,                0.25944,                0.86706,                0.99925,                      1,                  0.995,                  0.995,                0.99925,                      1,                  0.995,                0.78284,                0.22941,                 1.0273,                0.27876,                0.19461,                0.86821,              0.0014258,              0.0014258,              0.0014258
                     60,                0.27825,                 1.2152,                0.45964,                0.26392,                0.86834,                0.99927,                      1,                  0.995,                  0.995,                0.99927,                      1,                  0.995,                0.97333,                0.25924,                0.53418,                0.27203,                0.21237,                  0.857,              0.0014159,              0.0014159,              0.0014159
                     61,                0.26927,                 1.0833,                0.48027,                0.23957,                0.86938,                0.99927,                      1,                  0.995,                0.95073,                0.99927,                      1,                  0.995,                0.97413,                0.31052,                0.62782,                0.26526,                0.20909,                0.86301,               0.001406,               0.001406,               0.001406
                     62,                0.30472,                 1.5389,                 0.5177,                0.25179,                0.88169,                0.99902,                      1,                  0.995,                0.98716,                0.99902,                      1,                  0.995,                0.97693,                0.27713,                0.44911,                0.27409,                0.23308,                0.86842,              0.0013961,              0.0013961,              0.0013961
                     63,                0.28299,                 1.3664,                0.48318,                0.25915,                0.88436,                 0.9988,                      1,                  0.995,                  0.995,                 0.9988,                      1,                  0.995,                0.96059,                0.23648,                0.43508,                0.27744,                0.21703,                0.88932,              0.0013862,              0.0013862,              0.0013862
                     64,                0.29874,                 1.4016,                0.54061,                0.26275,                0.91414,                0.99928,                      1,                  0.995,                  0.995,                0.99928,                      1,                  0.995,                0.81119,                0.17529,                 0.8064,                0.28339,                0.17772,                0.84556,              0.0013763,              0.0013763,              0.0013763
                     65,                0.27208,                 1.3784,                 0.4852,                0.24506,                0.86432,                0.99917,                      1,                  0.995,                  0.995,                0.99917,                      1,                  0.995,                 0.9431,                0.18989,                0.47787,                0.29921,                0.18272,                0.83996,              0.0013664,              0.0013664,              0.0013664
                     66,                 0.2481,                 1.3733,                0.47559,                 0.2217,                0.88071,                0.99846,                      1,                  0.995,                  0.995,                0.99846,                      1,                  0.995,                0.81043,                0.20742,                0.88795,                0.30513,                0.24405,                0.84555,              0.0013565,              0.0013565,              0.0013565
                     67,                0.26684,                 1.4807,                0.49062,                0.24089,                  0.886,                 0.9988,                      1,                  0.995,                  0.995,                 0.9988,                      1,                  0.995,                0.79966,                 0.2368,                0.83696,                0.29546,                0.23697,                0.85489,              0.0013466,              0.0013466,              0.0013466
