                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.63443,                0.57318,                0.84013,                      1,                0.95913,                0.97081,                0.78178,                0.68431,                 0.5173,                0.82832,               0.001307,               0.001307,               0.001307
                     72,                0.57206,                0.51862,                0.82515,                      1,                 0.9579,                0.96529,                0.78636,                0.64402,                0.50298,                0.81757,              0.0012971,              0.0012971,              0.0012971
                     73,                0.64401,                0.55019,                0.82479,                      1,                 0.9543,                0.96521,                0.78697,                0.70498,                0.52932,                0.82595,              0.0012872,              0.0012872,              0.0012872
                     74,                0.64374,                0.54779,                0.83868,                0.96396,                0.96667,                0.96413,                0.79877,                0.69523,                0.54801,                0.83027,              0.0012773,              0.0012773,              0.0012773
                     75,                0.59627,                0.53607,                 0.8247,                0.96405,                0.96667,                0.96413,                0.80721,                0.62431,                0.51087,                0.81912,              0.0012674,              0.0012674,              0.0012674
                     76,                0.59637,                0.52199,                0.83024,                      1,                0.95924,                0.96514,                0.80222,                 0.6331,                0.50786,                0.81958,              0.0012575,              0.0012575,              0.0012575
                     77,                0.57027,                0.51776,                0.82666,                      1,                0.95978,                0.96514,                  0.812,                0.62948,                0.50143,                0.82051,              0.0012476,              0.0012476,              0.0012476
                     78,                0.52753,                0.50146,                0.80796,                0.99572,                0.96667,                0.96514,                0.80501,                0.63418,                0.48431,                0.81762,              0.0012377,              0.0012377,              0.0012377
                     79,                0.56045,                0.49996,                0.81559,                0.99354,                0.96667,                0.96528,                0.80112,                0.65634,                0.48604,                0.81699,              0.0012278,              0.0012278,              0.0012278
                     80,                 0.5629,                0.49344,                0.81496,                0.99485,                0.96667,                0.96532,                0.78337,                0.67561,                0.50793,                0.82227,              0.0012179,              0.0012179,              0.0012179
                     81,                0.58046,                 0.4975,                0.83358,                0.99641,                0.96667,                0.96533,                 0.7791,                0.70838,                0.50678,                0.83103,               0.001208,               0.001208,               0.001208
                     82,                0.54365,                0.49008,                0.83047,                      1,                0.96563,                0.96613,                0.81231,                0.65565,                0.50053,                0.82368,              0.0011981,              0.0011981,              0.0011981
                     83,                0.62079,                0.49176,                0.82328,                0.99643,                0.96667,                0.97209,                0.82345,                0.65502,                0.49059,                0.81582,              0.0011882,              0.0011882,              0.0011882
                     84,                0.54512,                0.48208,                0.82274,                0.99573,                0.96667,                0.97304,                0.82048,                 0.6717,                0.49096,                0.81669,              0.0011783,              0.0011783,              0.0011783
                     85,                0.56777,                0.49843,                0.81767,                0.99698,                0.96667,                0.97006,                0.81607,                0.67603,                0.47809,                0.82987,              0.0011684,              0.0011684,              0.0011684
                     86,                0.56555,                 0.5026,                0.82565,                0.99757,                0.96667,                0.96541,                0.81342,                0.66984,                0.46969,                0.82526,              0.0011585,              0.0011585,              0.0011585
                     87,                0.58806,                0.48856,                0.82691,                0.99775,                0.96667,                0.96515,                0.81593,                  0.666,                0.47755,                0.82978,              0.0011486,              0.0011486,              0.0011486
                     88,                0.51429,                 0.4599,                0.79438,                0.99784,                0.96667,                0.96516,                0.81928,                0.66472,                0.48724,                0.83213,              0.0011387,              0.0011387,              0.0011387
                     89,                0.53522,                0.47084,                0.81514,                0.99777,                0.96667,                0.96517,                0.80464,                0.68634,                0.47886,                0.83136,              0.0011288,              0.0011288,              0.0011288
                     90,                0.54716,                0.46429,                0.81026,                0.99771,                0.96667,                0.96518,                0.80015,                0.68071,                0.46895,                0.83208,              0.0011189,              0.0011189,              0.0011189
                     91,                0.54731,                0.47863,                0.80318,                0.99769,                0.96667,                0.96519,                 0.8112,                0.65572,                0.47217,                 0.8229,               0.001109,               0.001109,               0.001109
